date,cases,K,r,C0,tau,end_date,dCdt,tpeak,peak,R2
05-May-2020,10929,14348,0.165232968354395,2,24,18-Jun-2020,592,51,28-Apr-2020,0.997773856365852
06-May-2020,11719,15604,0.158342380219881,3,25,20-Jun-2020,617,52,29-Apr-2020,0.997586816020487
07-May-2020,12425,16736,0.152957004987596,4,26,22-Jun-2020,639,53,30-Apr-2020,0.997571720441005
08-May-2020,13134,17742,0.148649862095606,5,26,24-Jun-2020,659,54,01-May-2020,0.997643310107439
09-May-2020,13770,18507,0.145581133423809,5,27,26-Jun-2020,673,55,02-May-2020,0.9977969846204
10-May-2020,14657,19513,0.141773384230576,6,28,26-Jun-2020,691,55,02-May-2020,0.997826764426061
11-May-2020,15691,20900,0.137025061967349,8,29,28-Jun-2020,715,56,03-May-2020,0.997683739079844
12-May-2020,16660,22433,0.13240065022365,10,30,02-Jul-2020,742,58,05-May-2020,0.997544538198494
13-May-2020,17822,24379,0.127347854353848,12,31,04-Jul-2020,776,59,06-May-2020,0.997301338433513
14-May-2020,18863,26382,0.122920116885482,15,32,06-Jul-2020,810,60,07-May-2020,0.997175035302116
15-May-2020,20065,28676,0.118602446948565,18,33,08-Jul-2020,850,61,08-May-2020,0.997048988017892
16-May-2020,20995,30556,0.115518972117296,21,34,12-Jul-2020,882,63,10-May-2020,0.997132148041719
17-May-2020,22268,32739,0.112332145002754,24,35,14-Jul-2020,919,64,11-May-2020,0.99716098460119
18-May-2020,23870,35822,0.108472686779531,28,36,16-Jul-2020,971,65,12-May-2020,0.99701811031815
19-May-2020,25121,38751,0.105361896918822,32,37,20-Jul-2020,1020,67,14-May-2020,0.997028964031401
20-May-2020,26738,42328,0.102125443045977,37,39,22-Jul-2020,1080,68,15-May-2020,0.996987038639315
21-May-2020,28511,46784,0.0987829784268894,44,40,26-Jul-2020,1155,70,17-May-2020,0.996900564291426
22-May-2020,30205,51617,0.095808243027712,50,41,30-Jul-2020,1236,72,19-May-2020,0.99689055808535
23-May-2020,32078,57149,0.093010880452769,57,43,03-Aug-2020,1328,74,21-May-2020,0.996903607325245
24-May-2020,33610,61712,0.0910576080159684,62,43,05-Aug-2020,1404,75,22-May-2020,0.997070388076813
25-May-2020,35585,66836,0.0891436689114474,68,44,09-Aug-2020,1489,77,24-May-2020,0.997213008778192
