date,cases,K,r,C0,tau,end_date,dCdt,tpeak,peak,R2
10-Apr-2020,424,307684,0.257740158882776,0,15,02-Jul-2020,19825,58,05-May-2020,0.950900553656643
11-Apr-2020,482,408024,0.242263494180305,0,16,08-Jul-2020,24712,61,08-May-2020,0.968039531093823
12-Apr-2020,621,172953,0.239986087897373,0,16,02-Jul-2020,10376,58,05-May-2020,0.980385035626511
13-Apr-2020,803,2044347,0.241448642791396,0,16,22-Jul-2020,123401,68,15-May-2020,0.988177536735068
14-Apr-2020,1012,213998,0.241128287649465,0,16,04-Jul-2020,12900,59,06-May-2020,0.992775022216758
15-Apr-2020,1231,8777,0.252278576865333,0,15,06-Jun-2020,553,45,22-Apr-2020,0.99518263878781
16-Apr-2020,1572,63561,0.235736472086926,0,16,24-Jun-2020,3745,54,01-May-2020,0.996914072838117
17-Apr-2020,1838,6313,0.262806712652835,0,15,02-Jun-2020,414,43,20-Apr-2020,0.997720048505872
18-Apr-2020,2144,5023,0.27353799654686,0,14,31-May-2020,343,42,19-Apr-2020,0.998326512183149
19-Apr-2020,2456,4645,0.279182695745598,0,14,29-May-2020,324,41,18-Apr-2020,0.998776838290348
20-Apr-2020,2948,5750,0.262157911470891,0,15,31-May-2020,376,42,19-Apr-2020,0.998805255622383
21-Apr-2020,3382,6486,0.253309385737116,0,15,02-Jun-2020,410,43,20-Apr-2020,0.99903496901773
22-Apr-2020,3772,6565,0.252349266466171,0,15,02-Jun-2020,414,43,20-Apr-2020,0.999279605212701
23-Apr-2020,4186,6660,0.251024691897338,0,15,02-Jun-2020,417,43,20-Apr-2020,0.999446950225706
24-Apr-2020,4689,7117,0.244322231068711,0,16,04-Jun-2020,434,44,21-Apr-2020,0.999474639918737
25-Apr-2020,4998,7069,0.245091317420599,0,16,04-Jun-2020,433,44,21-Apr-2020,0.999579493386119
26-Apr-2020,5416,7217,0.242422812726021,0,16,04-Jun-2020,437,44,21-Apr-2020,0.999638139140646
27-Apr-2020,5913,7606,0.235248275309549,0,17,06-Jun-2020,447,45,22-Apr-2020,0.999530477844236
28-Apr-2020,6462,8195,0.225104604718178,0,17,06-Jun-2020,461,45,22-Apr-2020,0.999226756590654
29-Apr-2020,7103,9053,0.212382290600253,0,18,08-Jun-2020,480,46,23-Apr-2020,0.998685600199511
30-Apr-2020,7667,9906,0.201865164442498,0,19,10-Jun-2020,499,47,24-Apr-2020,0.998382058710901
01-May-2020,8238,10721,0.193253374722972,0,20,12-Jun-2020,517,48,25-Apr-2020,0.9982358048603
02-May-2020,8790,11441,0.18651038445977,1,21,14-Jun-2020,533,49,26-Apr-2020,0.998216409504324
03-May-2020,9455,12280,0.179460181706965,1,22,14-Jun-2020,550,49,26-Apr-2020,0.998116800502263
04-May-2020,10143,13210,0.172553958541812,2,23,16-Jun-2020,569,50,27-Apr-2020,0.997991142781871
05-May-2020,10929,14348,0.165232672686472,2,24,18-Jun-2020,592,51,28-Apr-2020,0.99777385636472
06-May-2020,11719,15604,0.158343439820723,3,25,20-Jun-2020,617,52,29-Apr-2020,0.997586816025248
07-May-2020,12425,16736,0.152957217669483,4,26,22-Jun-2020,639,53,30-Apr-2020,0.997571720440682
08-May-2020,13134,17742,0.148649550366776,5,26,24-Jun-2020,659,54,01-May-2020,0.99764331010899
09-May-2020,13770,18507,0.145578422323562,5,27,26-Jun-2020,673,55,02-May-2020,0.997796984602814
10-May-2020,14657,19513,0.14177330696297,6,28,26-Jun-2020,691,55,02-May-2020,0.997826764425313
11-May-2020,15691,20900,0.137023475052842,8,29,28-Jun-2020,715,56,03-May-2020,0.997683739088906
12-May-2020,16660,22433,0.132400346307553,10,30,02-Jul-2020,742,58,05-May-2020,0.997544538190646
13-May-2020,17822,24379,0.127348284625037,12,31,04-Jul-2020,776,59,06-May-2020,0.997301338433272
14-May-2020,18863,26383,0.122918114211856,15,32,06-Jul-2020,810,60,07-May-2020,0.997175035315218
15-May-2020,20065,28677,0.118601385513904,18,33,08-Jul-2020,850,61,08-May-2020,0.997048988042116
16-May-2020,20995,30555,0.11551916842001,21,34,12-Jul-2020,882,63,10-May-2020,0.997132148042736
