date,cases,K,r,C0,tau,end_date,dCdt,tpeak,peak,R2
29-Mar-2020,48,55,0.303690129859582,0,13,03-Apr-2020,4,13,21-Mar-2020,0.99468833621396
30-Mar-2020,49,53,0.311830614081268,0,12,03-Apr-2020,4,13,21-Mar-2020,0.99487408204177
31-Mar-2020,51,53,0.312736628471671,0,12,03-Apr-2020,4,13,21-Mar-2020,0.9954012368098
01-Apr-2020,54,54,0.30596861173134,0,13,03-Apr-2020,4,13,21-Mar-2020,0.995515943131544
02-Apr-2020,56,55,0.297363957674847,0,13,03-Apr-2020,4,13,21-Mar-2020,0.995310115517232
03-Apr-2020,61,58,0.279262349789552,1,14,05-Apr-2020,4,14,22-Mar-2020,0.992832742614375
04-Apr-2020,70,63,0.244534542950799,1,16,07-Apr-2020,3,15,23-Mar-2020,0.983558722672064
05-Apr-2020,88,84,0.177699200926999,2,22,13-Apr-2020,3,18,26-Mar-2020,0.957320181866562
06-Apr-2020,123,45005,0.0985415384755751,5,40,04-Sep-2020,1108,90,06-Jun-2020,0.924698563638473
07-Apr-2020,164,1051228,0.117096453379017,3,34,06-Oct-2020,30773,106,22-Jun-2020,0.910416374106289
08-Apr-2020,218,132181,0.147802396783651,1,27,05-Aug-2020,4884,75,22-May-2020,0.909695502749842
09-Apr-2020,330,646125,0.21970713312902,0,18,20-Jul-2020,35489,67,14-May-2020,0.916674595830431
10-Apr-2020,424,133408,0.257597947543421,0,15,26-Jun-2020,8591,55,02-May-2020,0.950845437459698
11-Apr-2020,482,119252,0.242481479659212,0,16,28-Jun-2020,7229,56,03-May-2020,0.968005494840455
12-Apr-2020,621,460647,0.239662472564745,0,16,10-Jul-2020,27599,62,09-May-2020,0.980395856556901
13-Apr-2020,803,201777,0.241844473595289,0,16,02-Jul-2020,12199,58,05-May-2020,0.98816699738811
14-Apr-2020,1012,95493,0.241799356204856,0,16,26-Jun-2020,5772,55,02-May-2020,0.992768097244707
15-Apr-2020,1231,8778,0.252275300434346,0,15,06-Jun-2020,553,45,22-Apr-2020,0.995182638722583
16-Apr-2020,1572,16305,0.244641308474636,0,16,12-Jun-2020,997,48,25-Apr-2020,0.996958804251878
17-Apr-2020,1838,6313,0.262807393166799,0,15,02-Jun-2020,414,43,20-Apr-2020,0.997720048507638
18-Apr-2020,2144,5023,0.273530446083315,0,14,31-May-2020,343,42,19-Apr-2020,0.998326512195308
19-Apr-2020,2456,4645,0.279184478044196,0,14,29-May-2020,324,41,18-Apr-2020,0.998776838293638
20-Apr-2020,2948,5749,0.262164210188773,0,15,31-May-2020,376,42,19-Apr-2020,0.99880525561057
21-Apr-2020,3382,6486,0.253308131684459,0,15,02-Jun-2020,410,43,20-Apr-2020,0.999034969013878
22-Apr-2020,3772,6565,0.252349312364822,0,15,02-Jun-2020,414,43,20-Apr-2020,0.999279605212714
23-Apr-2020,4186,6660,0.25102403019318,0,15,02-Jun-2020,417,43,20-Apr-2020,0.999446950226049
24-Apr-2020,4689,7117,0.244321953251239,0,16,04-Jun-2020,434,44,21-Apr-2020,0.999474639918721
25-Apr-2020,4998,7069,0.245090031957149,0,16,04-Jun-2020,433,44,21-Apr-2020,0.999579493387397
26-Apr-2020,5416,7217,0.242422841706671,0,16,04-Jun-2020,437,44,21-Apr-2020,0.999638139140646
27-Apr-2020,5913,7606,0.235248214383965,0,17,06-Jun-2020,447,45,22-Apr-2020,0.999530477844236
28-Apr-2020,6462,8195,0.225104557317013,0,17,06-Jun-2020,461,45,22-Apr-2020,0.999226756590669
29-Apr-2020,7103,9053,0.212382300463001,0,18,08-Jun-2020,480,46,23-Apr-2020,0.998685600199891
30-Apr-2020,7667,9906,0.201864954543521,0,19,10-Jun-2020,499,47,24-Apr-2020,0.998382058710807
