date,cases,K,r,C0,tau,end_date,dCdt,tpeak,peak,R2
17-May-2020,22268,32739,0.112333275459814,24,35,14-Jul-2020,919,64,11-May-2020,0.997160984602844
18-May-2020,23870,35822,0.108472484934415,28,36,16-Jul-2020,971,65,12-May-2020,0.997018110320962
19-May-2020,25121,38751,0.105361876617038,32,37,20-Jul-2020,1020,67,14-May-2020,0.997028964032802
20-May-2020,26738,42328,0.102125315573438,37,39,22-Jul-2020,1080,68,15-May-2020,0.996987038639479
21-May-2020,28511,46784,0.098783094520714,44,40,26-Jul-2020,1155,70,17-May-2020,0.996900564290429
22-May-2020,30205,51617,0.0958083558742559,50,41,30-Jul-2020,1236,72,19-May-2020,0.996890558084579
23-May-2020,32078,57148,0.0930114082698253,57,43,03-Aug-2020,1328,74,21-May-2020,0.996903607323572
24-May-2020,33610,61707,0.0910596846281322,62,43,05-Aug-2020,1404,75,22-May-2020,0.99707038798379
25-May-2020,35585,66835,0.0891438686109969,68,44,09-Aug-2020,1489,77,24-May-2020,0.997213008771084
26-May-2020,36751,69007,0.0883940002469308,71,45,09-Aug-2020,1524,77,24-May-2020,0.997476997520261
27-May-2020,38292,70396,0.0879151845671546,72,45,11-Aug-2020,1547,78,25-May-2020,0.997722194747231
28-May-2020,40321,72743,0.0871093220914064,75,45,11-Aug-2020,1584,78,25-May-2020,0.997914769704636
29-May-2020,42844,77116,0.0856856380442511,81,46,15-Aug-2020,1651,80,27-May-2020,0.998001698576677
30-May-2020,44608,80433,0.0846751136986754,85,47,15-Aug-2020,1702,80,27-May-2020,0.998135213768272
31-May-2020,47153,85203,0.0833141017238167,91,48,19-Aug-2020,1774,82,29-May-2020,0.998197296687525
01-Jun-2020,49534,90380,0.0819616733891945,97,48,21-Aug-2020,1851,83,30-May-2020,0.998249278816724
02-Jun-2020,52445,97425,0.080313866093774,106,49,23-Aug-2020,1956,84,31-May-2020,0.998230012529545
03-Jun-2020,55140,105028,0.078754795096305,115,50,27-Aug-2020,2067,86,02-Jun-2020,0.99822707718944
04-Jun-2020,57563,111701,0.0775344799382669,123,51,29-Aug-2020,2165,87,03-Jun-2020,0.998287588294175
05-Jun-2020,60391,118750,0.0763639202774872,131,52,02-Sep-2020,2267,89,05-Jun-2020,0.998345818298311
06-Jun-2020,63026,124992,0.0754112831101206,137,53,04-Sep-2020,2356,90,06-Jun-2020,0.998430002517345
07-Jun-2020,65769,130657,0.0745997428782989,144,53,06-Sep-2020,2436,91,07-Jun-2020,0.998522183556505
08-Jun-2020,68504,135525,0.0739325974509625,149,54,08-Sep-2020,2504,92,08-Jun-2020,0.998619839342641
09-Jun-2020,71675,141129,0.073195571803159,155,54,10-Sep-2020,2582,93,09-Jun-2020,0.99869683710758
10-Jun-2020,74865,147041,0.0724536297931233,162,55,10-Sep-2020,2663,93,09-Jun-2020,0.998763054382986
11-Jun-2020,78052,152868,0.0717548829056991,168,55,12-Sep-2020,2742,94,10-Jun-2020,0.998826227777829
12-Jun-2020,81523,159317,0.0710165950087658,176,56,14-Sep-2020,2828,95,11-Jun-2020,0.998875468416511
13-Jun-2020,84379,163844,0.0705153323022647,181,56,16-Sep-2020,2888,96,12-Jun-2020,0.998947241213329
14-Jun-2020,87520,167687,0.070094683335597,186,57,18-Sep-2020,2938,97,13-Jun-2020,0.99901820615614
15-Jun-2020,90619,170706,0.0697637845346399,189,57,18-Sep-2020,2977,97,13-Jun-2020,0.999087919710098
16-Jun-2020,94481,175307,0.0692621460763264,195,57,20-Sep-2020,3035,98,14-Jun-2020,0.999135182533679
17-Jun-2020,98489,181160,0.0686391260942239,202,58,20-Sep-2020,3108,98,14-Jun-2020,0.999160544844521
18-Jun-2020,102292,187170,0.0680197706522859,210,58,22-Sep-2020,3182,99,15-Jun-2020,0.999182006866438
19-Jun-2020,105535,191633,0.0675696500736734,216,59,24-Sep-2020,3237,100,16-Jun-2020,0.999221967163234
20-Jun-2020,108775,194820,0.0672490693246417,221,59,24-Sep-2020,3275,100,16-Jun-2020,0.99926946280042
21-Jun-2020,112306,197712,0.0669554386120808,225,59,26-Sep-2020,3309,101,17-Jun-2020,0.999313984637292
22-Jun-2020,115786,200220,0.0666975375842837,228,59,26-Sep-2020,3338,101,17-Jun-2020,0.999356387484808
23-Jun-2020,119198,202284,0.0664815414884597,232,60,26-Sep-2020,3362,101,17-Jun-2020,0.999397098614798
24-Jun-2020,122660,204122,0.0662846669659721,235,60,28-Sep-2020,3382,102,18-Jun-2020,0.999434850739647
25-Jun-2020,126606,206635,0.0660105070355277,239,60,28-Sep-2020,3410,102,18-Jun-2020,0.99946349850885
26-Jun-2020,130474,209463,0.0656986619484635,244,60,28-Sep-2020,3440,102,18-Jun-2020,0.999485640544077
27-Jun-2020,133978,211917,0.0654246605789214,248,61,30-Sep-2020,3466,103,19-Jun-2020,0.999508639589213
28-Jun-2020,137787,214538,0.065128591550745,253,61,30-Sep-2020,3493,103,19-Jun-2020,0.999526951512067
29-Jun-2020,141801,217547,0.0647856690293694,259,61,30-Sep-2020,3523,103,19-Jun-2020,0.99953793185731
30-Jun-2020,145483,220380,0.064460619996044,265,62,02-Oct-2020,3551,104,20-Jun-2020,0.99954910601009
01-Jul-2020,149258,223189,0.0641358852693004,271,62,02-Oct-2020,3578,104,20-Jun-2020,0.999558484041683
02-Jul-2020,153277,226259,0.0637791720732291,278,62,04-Oct-2020,3607,105,21-Jun-2020,0.999562076839473
03-Jul-2020,156391,228495,0.0635170405087203,283,62,04-Oct-2020,3628,105,21-Jun-2020,0.999575421477149
04-Jul-2020,159679,230319,0.0632998340078173,288,63,04-Oct-2020,3644,105,21-Jun-2020,0.999591233048793
05-Jul-2020,162417,231331,0.0631766052829646,290,63,04-Oct-2020,3653,105,21-Jun-2020,0.999611723123496
06-Jul-2020,165618,232230,0.0630639772833403,293,63,04-Oct-2020,3661,105,21-Jun-2020,0.999630910389729
07-Jul-2020,168645,232945,0.0629717428530742,295,63,04-Oct-2020,3667,105,21-Jun-2020,0.999649316269362
08-Jul-2020,172134,233937,0.0628402724376386,297,63,06-Oct-2020,3675,106,22-Jun-2020,0.999664218008006
09-Jul-2020,175494,235068,0.0626865513337922,301,63,06-Oct-2020,3683,106,22-Jun-2020,0.999676268659353
10-Jul-2020,178443,236049,0.0625499723785145,304,63,06-Oct-2020,3691,106,22-Jun-2020,0.999688299762783
11-Jul-2020,181129,236784,0.062444886306823,306,64,06-Oct-2020,3696,106,22-Jun-2020,0.99970107297797
12-Jul-2020,183795,237365,0.0623594957256045,308,64,06-Oct-2020,3700,106,22-Jun-2020,0.999713706832598
13-Jul-2020,186894,238114,0.0622465161094988,311,64,06-Oct-2020,3705,106,22-Jun-2020,0.999723844657311
14-Jul-2020,190057,239053,0.0621014657429784,314,64,06-Oct-2020,3711,106,22-Jun-2020,0.999730745501841
15-Jul-2020,193590,240345,0.0618976772131491,319,64,06-Oct-2020,3719,106,22-Jun-2020,0.999730857650064
16-Jul-2020,196323,241550,0.0617043069070165,324,64,08-Oct-2020,3726,107,23-Jun-2020,0.999731552950245
17-Jul-2020,199357,242843,0.0614934557595077,329,65,08-Oct-2020,3733,107,23-Jun-2020,0.999729365490865
18-Jul-2020,202066,244082,0.0612878931467345,335,65,08-Oct-2020,3739,107,23-Jun-2020,0.999727278122809
19-Jul-2020,204525,245196,0.0611002069333451,339,65,08-Oct-2020,3745,107,23-Jun-2020,0.999726880955369
20-Jul-2020,207453,246410,0.060892356317275,345,65,08-Oct-2020,3751,107,23-Jun-2020,0.999723121018204
21-Jul-2020,210510,247765,0.060656965002145,351,65,10-Oct-2020,3757,108,24-Jun-2020,0.999714462900048
22-Jul-2020,213254,249137,0.0604159563006244,358,66,10-Oct-2020,3762,108,24-Jun-2020,0.999704271008191
23-Jul-2020,216110,250571,0.0601610898421757,366,66,10-Oct-2020,3768,108,24-Jun-2020,0.999690959944205
24-Jul-2020,218658,251968,0.0599102583068494,373,66,10-Oct-2020,3773,108,24-Jun-2020,0.999677929935166
25-Jul-2020,221178,253336,0.0596621931386474,381,67,10-Oct-2020,3778,108,24-Jun-2020,0.999664878358431
26-Jul-2020,223453,254618,0.0594272693620483,388,67,12-Oct-2020,3782,109,25-Jun-2020,0.999653878062115
27-Jul-2020,226225,255980,0.0591752909769552,396,67,12-Oct-2020,3786,109,25-Jun-2020,0.999638704860875
28-Jul-2020,229185,257467,0.058897997273751,405,67,12-Oct-2020,3791,109,25-Jun-2020,0.999616996634858
29-Jul-2020,232194,259077,0.0585957716485624,415,68,12-Oct-2020,3795,109,25-Jun-2020,0.999588121039726
30-Jul-2020,234889,260719,0.0582863738996363,426,68,14-Oct-2020,3799,110,26-Jun-2020,0.999556607726984
31-Jul-2020,237661,262412,0.0579663725983225,437,69,14-Oct-2020,3802,110,26-Jun-2020,0.999521249118226
01-Aug-2020,239860,264018,0.0576618373157188,448,69,14-Oct-2020,3805,110,26-Jun-2020,0.999490074434746
02-Aug-2020,240746,265257,0.0574255371418976,457,69,14-Oct-2020,3808,110,26-Jun-2020,0.999477116824548
03-Aug-2020,242102,266296,0.0572256245991816,465,69,14-Oct-2020,3809,110,26-Jun-2020,0.99947168778186
04-Aug-2020,244020,267291,0.057032243951799,472,70,16-Oct-2020,3811,111,27-Jun-2020,0.999466752590715
05-Aug-2020,246674,268403,0.0568141423261658,481,70,16-Oct-2020,3812,111,27-Jun-2020,0.999455156555989
06-Aug-2020,249651,269682,0.0565616034639186,491,70,16-Oct-2020,3813,111,27-Jun-2020,0.99943316611936
07-Aug-2020,252502,271085,0.0562833817560304,503,71,16-Oct-2020,3814,111,27-Jun-2020,0.999402047024216
08-Aug-2020,255113,272554,0.0559909983050139,515,71,16-Oct-2020,3815,111,27-Jun-2020,0.999365017547513
09-Aug-2020,257600,274064,0.0556901288555949,529,71,18-Oct-2020,3815,112,28-Jun-2020,0.999323869378119
10-Aug-2020,260507,275683,0.0553669831547515,543,72,18-Oct-2020,3815,112,28-Jun-2020,0.999272703601731
11-Aug-2020,263503,277416,0.0550217957339781,560,72,18-Oct-2020,3815,112,28-Jun-2020,0.999210460705694
12-Aug-2020,266498,279252,0.0546571158396369,577,73,20-Oct-2020,3815,113,29-Jun-2020,0.999137604690423
13-Aug-2020,269115,281122,0.0542871942233589,596,73,20-Oct-2020,3815,113,29-Jun-2020,0.999061057773034
14-Aug-2020,271881,283048,0.0539080430222856,616,74,20-Oct-2020,3814,113,29-Jun-2020,0.998978483224723
15-Aug-2020,274525,285006,0.0535248349554546,636,74,20-Oct-2020,3813,113,29-Jun-2020,0.998892389908662
16-Aug-2020,276549,286903,0.0531557822822476,657,75,22-Oct-2020,3812,114,30-Jun-2020,0.998813473756523
17-Aug-2020,279144,288829,0.0527831420169088,679,75,22-Oct-2020,3811,114,30-Jun-2020,0.998731173253298
18-Aug-2020,282344,290870,0.0523910093606442,702,76,22-Oct-2020,3809,114,30-Jun-2020,0.998635288255127
19-Aug-2020,285091,292953,0.051994075123666,727,76,24-Oct-2020,3807,115,01-Jul-2020,0.998534847285683
20-Aug-2020,287959,295091,0.0515905881801643,753,77,24-Oct-2020,3805,115,01-Jul-2020,0.998428068508451
21-Aug-2020,290360,297219,0.0511925107731496,779,78,26-Oct-2020,3803,116,02-Jul-2020,0.998323972068134
22-Aug-2020,292625,299318,0.0508036318378658,806,78,26-Oct-2020,3801,116,02-Jul-2020,0.998224565170632
23-Aug-2020,294598,301354,0.0504298706255153,833,79,26-Oct-2020,3799,116,02-Jul-2020,0.998134116142388
24-Aug-2020,297083,303398,0.05005772380679,861,79,28-Oct-2020,3796,117,03-Jul-2020,0.998042870590754
25-Aug-2020,299628,305459,0.0496858607098312,890,80,28-Oct-2020,3794,117,03-Jul-2020,0.997949833296222
26-Aug-2020,302147,307534,0.0493150793226245,919,81,28-Oct-2020,3791,117,03-Jul-2020,0.997855555190737
27-Aug-2020,304583,309611,0.0489473482819951,950,81,30-Oct-2020,3788,118,04-Jul-2020,0.997761481350556
28-Aug-2020,306794,311662,0.0485877022234841,981,82,30-Oct-2020,3785,118,04-Jul-2020,0.997671196178924
29-Aug-2020,308925,313682,0.0482369649876418,1012,82,30-Oct-2020,3782,118,04-Jul-2020,0.99758543927418
30-Aug-2020,310822,315645,0.0478989144561383,1043,83,01-Nov-2020,3779,119,05-Jul-2020,0.997507162490061
31-Aug-2020,312996,317590,0.0475665158546792,1074,84,01-Nov-2020,3776,119,05-Jul-2020,0.997431148172708
