date,cases,K,r,C0,tau,end_date,dCdt,tpeak,peak,R2
22-Apr-2020,3772,6565,0.252349416009703,0,15,02-Jun-2020,414,43,20-Apr-2020,0.999279605212723
23-Apr-2020,4186,6660,0.251023838066727,0,15,02-Jun-2020,417,43,20-Apr-2020,0.999446950226039
24-Apr-2020,4689,7117,0.244322127388622,0,16,04-Jun-2020,434,44,21-Apr-2020,0.999474639918754
25-Apr-2020,4998,7069,0.24509009669135,0,16,04-Jun-2020,433,44,21-Apr-2020,0.999579493387398
26-Apr-2020,5416,7217,0.242422813694456,0,16,04-Jun-2020,437,44,21-Apr-2020,0.999638139140646
27-Apr-2020,5913,7606,0.235248233072719,0,17,06-Jun-2020,447,45,22-Apr-2020,0.999530477844238
28-Apr-2020,6462,8195,0.225104779288723,0,17,06-Jun-2020,461,45,22-Apr-2020,0.999226756590551
29-Apr-2020,7103,9053,0.212382556437956,0,18,08-Jun-2020,480,46,23-Apr-2020,0.998685600200113
30-Apr-2020,7667,9906,0.201865036848179,0,19,10-Jun-2020,499,47,24-Apr-2020,0.998382058710568
01-May-2020,8238,10721,0.193253204857417,0,20,12-Jun-2020,517,48,25-Apr-2020,0.998235804859455
02-May-2020,8790,11441,0.186511687045808,1,21,14-Jun-2020,533,49,26-Apr-2020,0.998216409506788
03-May-2020,9455,12280,0.179460396174202,1,22,14-Jun-2020,550,49,26-Apr-2020,0.99811680050284
04-May-2020,10143,13210,0.172555121923518,2,23,16-Jun-2020,569,50,27-Apr-2020,0.997991142785933
05-May-2020,10929,14348,0.165233221807871,2,24,18-Jun-2020,592,51,28-Apr-2020,0.997773856367991
06-May-2020,11719,15604,0.158343157961212,3,25,20-Jun-2020,617,52,29-Apr-2020,0.997586816024467
07-May-2020,12425,16737,0.152956066042031,4,26,22-Jun-2020,640,53,30-Apr-2020,0.997571720440678
08-May-2020,13134,17742,0.148649534682436,5,26,24-Jun-2020,659,54,01-May-2020,0.997643310109423
09-May-2020,13770,18507,0.145581125869203,5,27,26-Jun-2020,673,55,02-May-2020,0.997796984620411
10-May-2020,14657,19514,0.141771081139215,6,28,26-Jun-2020,691,55,02-May-2020,0.99782676441228
11-May-2020,15691,20900,0.137023559996356,8,29,28-Jun-2020,715,56,03-May-2020,0.997683739088792
12-May-2020,16660,22433,0.132400076051183,10,30,02-Jul-2020,742,58,05-May-2020,0.997544538197241
13-May-2020,17822,24379,0.127346646128622,12,31,04-Jul-2020,776,59,06-May-2020,0.997301338425761
14-May-2020,18863,26383,0.122918348192756,15,32,06-Jul-2020,810,60,07-May-2020,0.997175035314605
15-May-2020,20065,28676,0.118601923798339,18,33,08-Jul-2020,850,61,08-May-2020,0.99704898803077
16-May-2020,20995,30555,0.115519671887016,21,34,12-Jul-2020,882,63,10-May-2020,0.997132148042817
17-May-2020,22268,32738,0.112336370972561,24,35,14-Jul-2020,919,64,11-May-2020,0.997160984563151
