date,cases,K,r,C0,tau,end_date,dCdt,tpeak,peak,R2
23-Jun-2020,119198,202287,0.0664808573256911,232,60,26-Sep-2020,3362,101,17-Jun-2020,0.999397098611992
24-Jun-2020,122660,204124,0.0662843112346345,235,60,28-Sep-2020,3382,102,18-Jun-2020,0.999434850737958
25-Jun-2020,126606,206637,0.0660104565422843,239,60,28-Sep-2020,3410,102,18-Jun-2020,0.999463498513301
26-Jun-2020,130474,209464,0.0656983575745303,244,60,28-Sep-2020,3440,102,18-Jun-2020,0.999485640542839
27-Jun-2020,133978,211917,0.0654247082619893,248,61,30-Sep-2020,3466,103,19-Jun-2020,0.999508639589376
28-Jun-2020,137787,214539,0.0651283534812876,253,61,30-Sep-2020,3493,103,19-Jun-2020,0.999526951511853
29-Jun-2020,141801,217547,0.0647856691455124,259,61,30-Sep-2020,3523,103,19-Jun-2020,0.99953793185731
30-Jun-2020,145483,220380,0.064460697681265,265,62,02-Oct-2020,3551,104,20-Jun-2020,0.999549106009884
01-Jul-2020,149258,223189,0.064135964600442,271,62,02-Oct-2020,3578,104,20-Jun-2020,0.999558484041683
02-Jul-2020,153277,226259,0.0637792362220476,278,62,04-Oct-2020,3607,105,21-Jun-2020,0.999562076839208
03-Jul-2020,156391,228495,0.0635170725986278,283,62,04-Oct-2020,3628,105,21-Jun-2020,0.999575421477117
04-Jul-2020,159679,230319,0.063299836721796,288,63,04-Oct-2020,3644,105,21-Jun-2020,0.999591233048783
05-Jul-2020,162417,231331,0.0631766180240817,290,63,04-Oct-2020,3653,105,21-Jun-2020,0.999611723123487
06-Jul-2020,165618,232230,0.0630640039904254,293,63,04-Oct-2020,3661,105,21-Jun-2020,0.999630910389708
07-Jul-2020,168645,232941,0.0629723142706553,295,63,04-Oct-2020,3667,105,21-Jun-2020,0.999649316258998
08-Jul-2020,172134,233937,0.0628402787371673,297,63,06-Oct-2020,3675,106,22-Jun-2020,0.999664218008002
09-Jul-2020,175494,235068,0.0626865492939635,301,63,06-Oct-2020,3683,106,22-Jun-2020,0.999676268659336
10-Jul-2020,178443,236049,0.0625499681145202,304,63,06-Oct-2020,3691,106,22-Jun-2020,0.999688299762785
11-Jul-2020,181129,236784,0.0624448669256775,306,64,06-Oct-2020,3696,106,22-Jun-2020,0.999701072977921
12-Jul-2020,183795,237365,0.0623595006359169,308,64,06-Oct-2020,3700,106,22-Jun-2020,0.999713706832492
13-Jul-2020,186894,238114,0.062246457941109,311,64,06-Oct-2020,3705,106,22-Jun-2020,0.99972384465717
14-Jul-2020,190057,239052,0.062101526396682,314,64,06-Oct-2020,3711,106,22-Jun-2020,0.999730745501897
15-Jul-2020,193590,240345,0.0618976580465176,319,64,06-Oct-2020,3719,106,22-Jun-2020,0.999730857650075
16-Jul-2020,196323,241550,0.0617043387293724,324,64,08-Oct-2020,3726,107,23-Jun-2020,0.999731552950263
17-Jul-2020,199357,242843,0.0614934575376975,329,65,08-Oct-2020,3733,107,23-Jun-2020,0.999729365490864
18-Jul-2020,202066,244082,0.0612879674475112,335,65,08-Oct-2020,3739,107,23-Jun-2020,0.999727278122875
19-Jul-2020,204525,245196,0.0611001814619038,339,65,08-Oct-2020,3745,107,23-Jun-2020,0.999726880955354
20-Jul-2020,207453,246410,0.060892336664132,345,65,08-Oct-2020,3751,107,23-Jun-2020,0.999723121018205
21-Jul-2020,210510,247765,0.0606570047601626,351,65,10-Oct-2020,3757,108,24-Jun-2020,0.999714462900208
22-Jul-2020,213254,249137,0.0604159573512193,358,66,10-Oct-2020,3762,108,24-Jun-2020,0.9997042710082
23-Jul-2020,216110,250571,0.0601610851624142,366,66,10-Oct-2020,3768,108,24-Jun-2020,0.999690959944206
24-Jul-2020,218658,251968,0.0599102200350468,373,66,10-Oct-2020,3773,108,24-Jun-2020,0.999677929934906
25-Jul-2020,221178,253336,0.0596621829436822,381,67,10-Oct-2020,3778,108,24-Jun-2020,0.999664878358432
26-Jul-2020,223453,254618,0.0594272219962603,388,67,12-Oct-2020,3782,109,25-Jun-2020,0.999653878062151
27-Jul-2020,226225,255980,0.0591752434096703,396,67,12-Oct-2020,3786,109,25-Jun-2020,0.999638704860901
28-Jul-2020,229185,257467,0.0588979688012572,405,67,12-Oct-2020,3791,109,25-Jun-2020,0.999616996634878
29-Jul-2020,232194,259078,0.0585957749094186,415,68,12-Oct-2020,3795,109,25-Jun-2020,0.999588121039796
30-Jul-2020,234889,260720,0.0582863173956456,426,68,14-Oct-2020,3799,110,26-Jun-2020,0.999556607727052
31-Jul-2020,237661,262412,0.0579663805418473,437,69,14-Oct-2020,3802,110,26-Jun-2020,0.999521249118479
01-Aug-2020,239860,264018,0.0576617541981045,448,69,14-Oct-2020,3805,110,26-Jun-2020,0.999490074434787
02-Aug-2020,240746,265257,0.057425491900273,457,69,14-Oct-2020,3808,110,26-Jun-2020,0.999477116824685
03-Aug-2020,242102,266296,0.0572255436972275,465,69,14-Oct-2020,3809,110,26-Jun-2020,0.999471687781779
04-Aug-2020,244020,267291,0.0570322101680785,472,70,16-Oct-2020,3811,111,27-Jun-2020,0.999466752590807
05-Aug-2020,246674,268404,0.0568140052908561,481,70,16-Oct-2020,3812,111,27-Jun-2020,0.999455156555713
06-Aug-2020,249651,269683,0.0565614468186404,491,70,16-Oct-2020,3813,111,27-Jun-2020,0.999433166118914
07-Aug-2020,252502,271085,0.0562832153715832,503,71,16-Oct-2020,3814,111,27-Jun-2020,0.999402047023646
08-Aug-2020,255113,272555,0.0559908298077024,515,71,16-Oct-2020,3815,111,27-Jun-2020,0.999365017546833
09-Aug-2020,257600,274064,0.0556899648091245,529,71,18-Oct-2020,3815,112,28-Jun-2020,0.999323869377329
10-Aug-2020,260507,275683,0.0553670633139912,543,72,18-Oct-2020,3815,112,28-Jun-2020,0.999272703602656
11-Aug-2020,263503,277416,0.055021840892522,560,72,18-Oct-2020,3815,112,28-Jun-2020,0.999210460705862
12-Aug-2020,266498,279252,0.0546571143870137,577,73,20-Oct-2020,3815,113,29-Jun-2020,0.999137604690056
13-Aug-2020,269115,281122,0.0542871672404274,596,73,20-Oct-2020,3815,113,29-Jun-2020,0.999061057772611
14-Aug-2020,271881,283048,0.0539081339866299,616,74,20-Oct-2020,3814,113,29-Jun-2020,0.998978483225198
15-Aug-2020,274525,285006,0.0535248502456239,636,74,20-Oct-2020,3813,113,29-Jun-2020,0.998892389908485
16-Aug-2020,276549,286903,0.0531558209419264,657,75,22-Oct-2020,3812,114,30-Jun-2020,0.998813473756598
17-Aug-2020,279144,288829,0.052783288388174,679,75,22-Oct-2020,3811,114,30-Jun-2020,0.998731173254438
18-Aug-2020,282344,290869,0.052391258156577,702,76,22-Oct-2020,3809,114,30-Jun-2020,0.998635288257704
19-Aug-2020,285091,292952,0.0519944319401691,727,76,24-Oct-2020,3807,115,01-Jul-2020,0.998534847290368
20-Aug-2020,287959,295092,0.0515905233307038,753,77,24-Oct-2020,3805,115,01-Jul-2020,0.998428068508344
21-Aug-2020,290360,297219,0.0511925488213185,779,78,26-Oct-2020,3803,116,02-Jul-2020,0.998323972068343
22-Aug-2020,292625,299319,0.0508034852614903,806,78,26-Oct-2020,3801,116,02-Jul-2020,0.998224565171101
23-Aug-2020,294598,301355,0.0504296142558189,833,79,26-Oct-2020,3799,116,02-Jul-2020,0.998134116144285
24-Aug-2020,297083,303399,0.0500573733075414,861,79,28-Oct-2020,3796,117,03-Jul-2020,0.998042870594683
25-Aug-2020,299628,305461,0.0496854616133784,890,80,28-Oct-2020,3794,117,03-Jul-2020,0.997949833301786
26-Aug-2020,302147,307535,0.0493147013979545,919,81,28-Oct-2020,3791,117,03-Jul-2020,0.997855555196538
27-Aug-2020,304583,309612,0.0489470603637753,950,81,30-Oct-2020,3788,118,04-Jul-2020,0.997761481355537
28-Aug-2020,306794,311664,0.0485872619182464,981,82,30-Oct-2020,3785,118,04-Jul-2020,0.997671196186732
29-Aug-2020,308925,313684,0.0482363567483524,1012,82,30-Oct-2020,3782,118,04-Jul-2020,0.997585439289828
30-Aug-2020,310822,315647,0.0478983395251438,1043,83,01-Nov-2020,3779,119,05-Jul-2020,0.997507162503521
31-Aug-2020,312996,317590,0.0475665609233374,1074,84,01-Nov-2020,3776,119,05-Jul-2020,0.997431148177363
01-Sep-2020,314946,319491,0.0472447786302185,1105,84,01-Nov-2020,3773,119,05-Jul-2020,0.997360307651808
02-Sep-2020,317528,321424,0.046920255190823,1138,85,03-Nov-2020,3770,120,06-Jul-2020,0.997284723864238
03-Sep-2020,319686,323340,0.0466011095680096,1171,85,03-Nov-2020,3767,120,06-Jul-2020,0.997210943664392
04-Sep-2020,321615,325216,0.0462912667905475,1204,86,03-Nov-2020,3763,120,06-Jul-2020,0.997141915852663
