date,cases,K,r,C0,tau,end_date,dCdt,tpeak,peak,R2
11-Jun-2020,78052,152869,0.0717548143747507,168,55,12-Sep-2020,2742,94,10-Jun-2020,0.998826227778275
12-Jun-2020,81523,159317,0.0710165728262175,176,56,14-Sep-2020,2828,95,11-Jun-2020,0.998875468416511
13-Jun-2020,84379,163846,0.0705151564157958,181,56,16-Sep-2020,2888,96,12-Jun-2020,0.998947241203758
14-Jun-2020,87520,167645,0.070097631544119,185,57,18-Sep-2020,2937,97,13-Jun-2020,0.999018204958924
15-Jun-2020,90619,170751,0.069758774803511,189,57,18-Sep-2020,2977,97,13-Jun-2020,0.999087920978623
16-Jun-2020,94481,175322,0.0692608080530262,195,57,20-Sep-2020,3035,98,14-Jun-2020,0.99913518264912
17-Jun-2020,98489,181157,0.0686395092332703,202,58,20-Sep-2020,3108,98,14-Jun-2020,0.999160544848556
18-Jun-2020,102292,187177,0.0680188289293369,210,58,22-Sep-2020,3182,99,15-Jun-2020,0.999182006848416
19-Jun-2020,105535,191648,0.067567739378429,216,59,24-Sep-2020,3237,100,16-Jun-2020,0.999221967074526
20-Jun-2020,108775,194802,0.067250984675815,221,59,24-Sep-2020,3275,100,16-Jun-2020,0.999269462693583
21-Jun-2020,112306,197685,0.0669582525112411,225,59,26-Sep-2020,3309,101,17-Jun-2020,0.999313984374895
22-Jun-2020,115786,200220,0.0666974644766552,228,59,26-Sep-2020,3338,101,17-Jun-2020,0.999356387484942
23-Jun-2020,119198,202287,0.0664810504769846,232,60,26-Sep-2020,3362,101,17-Jun-2020,0.999397098613809
24-Jun-2020,122660,204122,0.0662846534446216,235,60,28-Sep-2020,3382,102,18-Jun-2020,0.999434850739593
25-Jun-2020,126606,206638,0.0660101837261848,239,60,28-Sep-2020,3410,102,18-Jun-2020,0.999463498512209
26-Jun-2020,130474,209463,0.0656987530251405,244,60,28-Sep-2020,3440,102,18-Jun-2020,0.999485640543856
27-Jun-2020,133978,211918,0.065424510489949,248,61,30-Sep-2020,3466,103,19-Jun-2020,0.999508639588291
28-Jun-2020,137787,214538,0.0651285289047034,253,61,30-Sep-2020,3493,103,19-Jun-2020,0.999526951512202
29-Jun-2020,141801,217547,0.064785692854231,259,61,30-Sep-2020,3523,103,19-Jun-2020,0.999537931857285
30-Jun-2020,145483,220380,0.0644606153772605,265,62,02-Oct-2020,3551,104,20-Jun-2020,0.999549106010093
01-Jul-2020,149258,223189,0.0641359904249224,271,62,02-Oct-2020,3578,104,20-Jun-2020,0.999558484041684
02-Jul-2020,153277,226258,0.0637792400278572,278,62,04-Oct-2020,3607,105,21-Jun-2020,0.99956207683946
03-Jul-2020,156391,228495,0.0635170721334039,283,62,04-Oct-2020,3628,105,21-Jun-2020,0.999575421477118
04-Jul-2020,159679,230319,0.0632998406375616,288,63,04-Oct-2020,3644,105,21-Jun-2020,0.999591233048787
05-Jul-2020,162417,231328,0.0631768634701542,290,63,04-Oct-2020,3653,105,21-Jun-2020,0.999611723116941
06-Jul-2020,165618,232230,0.0630639628728961,293,63,04-Oct-2020,3661,105,21-Jun-2020,0.999630910389732
07-Jul-2020,168645,232940,0.0629726109953655,295,63,04-Oct-2020,3667,105,21-Jun-2020,0.999649316249239
08-Jul-2020,172134,233937,0.0628402673551095,297,63,06-Oct-2020,3675,106,22-Jun-2020,0.999664218008009
09-Jul-2020,175494,235068,0.0626865514518033,301,63,06-Oct-2020,3683,106,22-Jun-2020,0.999676268659353
10-Jul-2020,178443,236049,0.0625499136760888,304,63,06-Oct-2020,3691,106,22-Jun-2020,0.999688299762737
11-Jul-2020,181129,236784,0.0624448886933137,306,64,06-Oct-2020,3696,106,22-Jun-2020,0.999701072977969
12-Jul-2020,183795,237362,0.0623600852628113,308,64,06-Oct-2020,3700,106,22-Jun-2020,0.999713706822887
13-Jul-2020,186894,238114,0.0622464613210766,311,64,06-Oct-2020,3705,106,22-Jun-2020,0.999723844657193
14-Jul-2020,190057,239052,0.0621015158980099,314,64,06-Oct-2020,3711,106,22-Jun-2020,0.999730745501896
15-Jul-2020,193590,240345,0.0618976512046579,319,64,06-Oct-2020,3719,106,22-Jun-2020,0.999730857650076
16-Jul-2020,196323,241550,0.0617043383000043,324,64,08-Oct-2020,3726,107,23-Jun-2020,0.999731552950263
