date,cases,K,r,C0,tau,end_date,dCdt,tpeak,peak,R2
29-May-0200,42844,77116,0.0856856383882382,81,46,15-Aug-0200,1651,80,27-May-0200,0.998001698576897
30-May-0200,44608,80434,0.0846748319148503,85,47,15-Aug-0200,1702,80,27-May-0200,0.998135213769594
31-May-0200,47153,85204,0.0833138688822568,91,48,19-Aug-0200,1774,82,29-May-0200,0.998197296675846
01-Jun-0200,49534,90378,0.0819618447068822,97,48,21-Aug-0200,1851,83,30-May-0200,0.998249278816041
02-Jun-0200,52445,97423,0.0803142173423332,106,49,23-Aug-0200,1956,84,31-May-0200,0.998230012538551
03-Jun-0200,55140,105029,0.078754785043373,115,50,27-Aug-0200,2067,86,02-Jun-0200,0.998227077191024
04-Jun-0200,57563,111697,0.0775350970375439,123,51,29-Aug-0200,2165,87,03-Jun-0200,0.998287588271858
05-Jun-0200,60391,118758,0.0763630175226852,131,52,02-Sep-0200,2267,89,05-Jun-0200,0.998345818362449
06-Jun-0200,63026,124993,0.0754111567339012,137,53,04-Sep-0200,2356,90,06-Jun-0200,0.99843000252338
07-Jun-0200,65769,130644,0.0746017492629454,144,53,06-Sep-0200,2436,91,07-Jun-0200,0.998522183539959
08-Jun-0200,68504,135524,0.0739326980940843,149,54,08-Sep-0200,2504,92,08-Jun-0200,0.998619839340626
09-Jun-0200,71675,141130,0.0731954500380781,155,54,10-Sep-0200,2582,93,09-Jun-0200,0.998696837107516
10-Jun-0200,74865,147038,0.0724538901976399,162,55,10-Sep-0200,2663,93,09-Jun-0200,0.998763054373388
11-Jun-0200,78052,152869,0.0717547922645016,168,55,12-Sep-0200,2742,94,10-Jun-0200,0.998826227778052
12-Jun-0200,81523,159277,0.0710195853426451,176,56,14-Sep-0200,2827,95,11-Jun-0200,0.998875467263987
13-Jun-0200,84379,163842,0.0705155595184291,181,56,16-Sep-0200,2888,96,12-Jun-0200,0.998947241216389
14-Jun-0200,87520,167687,0.0700946044067634,186,57,18-Sep-0200,2938,97,13-Jun-0200,0.999018206155302
15-Jun-0200,90619,170702,0.069762127428667,189,57,18-Sep-0200,2977,97,13-Jun-0200,0.999087918411123
16-Jun-0200,94481,175321,0.069260832440487,195,57,20-Sep-0200,3035,98,14-Jun-0200,0.999135182649005
17-Jun-0200,98489,181157,0.0686393989604306,202,58,20-Sep-0200,3108,98,14-Jun-0200,0.999160544848624
18-Jun-0200,102292,187176,0.0680189791944526,210,58,22-Sep-0200,3182,99,15-Jun-0200,0.999182006853174
19-Jun-0200,105535,191635,0.0675693844508218,216,59,24-Sep-0200,3237,100,16-Jun-0200,0.999221967157768
20-Jun-0200,108775,194819,0.0672491137927009,221,59,24-Sep-0200,3275,100,16-Jun-0200,0.999269462800603
21-Jun-0200,112306,197712,0.0669554096125189,225,59,26-Sep-0200,3309,101,17-Jun-0200,0.99931398463744
22-Jun-0200,115786,200220,0.0666975198441316,228,59,26-Sep-0200,3338,101,17-Jun-0200,0.999356387484978
23-Jun-0200,119198,201511,0.0665120821982275,232,60,26-Sep-0200,3350,101,17-Jun-0200,0.999396405668307
24-Jun-0200,122660,204124,0.0662844871950064,235,60,28-Sep-0200,3382,102,18-Jun-0200,0.999434850739201
25-Jun-0200,126606,206637,0.0660103895193322,239,60,28-Sep-0200,3410,102,18-Jun-0200,0.999463498513105
26-Jun-0200,130474,209463,0.0656986253268577,244,60,28-Sep-0200,3440,102,18-Jun-0200,0.999485640543624
27-Jun-0200,133978,211917,0.065424706528028,248,61,30-Sep-0200,3466,103,19-Jun-0200,0.999508639589438
28-Jun-0200,137787,214538,0.0651285691417128,253,61,30-Sep-0200,3493,103,19-Jun-0200,0.999526951512153
29-Jun-0200,141801,217547,0.0647856313773065,259,61,30-Sep-0200,3523,103,19-Jun-0200,0.99953793185726
30-Jun-0200,145483,220380,0.0644606368722829,265,62,02-Oct-0200,3551,104,20-Jun-0200,0.999549106010069
01-Jul-0200,149258,223189,0.0641359463327556,271,62,02-Oct-0200,3578,104,20-Jun-0200,0.999558484041734
02-Jul-0200,153277,226258,0.0637792432746657,278,62,04-Oct-0200,3607,105,21-Jun-0200,0.999562076839283
03-Jul-0200,156391,228495,0.0635169879338964,283,62,04-Oct-0200,3628,105,21-Jun-0200,0.999575421477131
04-Jul-0200,159679,230319,0.0632998434103393,288,63,04-Oct-0200,3644,105,21-Jun-0200,0.999591233048786
05-Jul-0200,162417,231331,0.0631764409358229,290,63,04-Oct-0200,3653,105,21-Jun-0200,0.999611723123036
06-Jul-0200,165618,232230,0.0630639876009669,293,63,04-Oct-0200,3661,105,21-Jun-0200,0.999630910389723
07-Jul-0200,168645,232945,0.0629717068512105,295,63,04-Oct-0200,3667,105,21-Jun-0200,0.999649316269332
08-Jul-0200,172134,233937,0.0628402054769859,297,63,06-Oct-0200,3675,106,22-Jun-0200,0.999664218007971
09-Jul-0200,175494,235068,0.0626865316641433,301,63,06-Oct-0200,3683,106,22-Jun-0200,0.999676268659356
10-Jul-0200,178443,236049,0.0625500060053336,304,63,06-Oct-0200,3691,106,22-Jun-0200,0.999688299762751
11-Jul-0200,181129,236784,0.0624448873005158,306,64,06-Oct-0200,3696,106,22-Jun-0200,0.999701072977969
12-Jul-0200,183795,237365,0.062359533485051,308,64,06-Oct-0200,3700,106,22-Jun-0200,0.99971370683262
13-Jul-0200,186894,238114,0.0622465618208046,311,64,06-Oct-0200,3705,106,22-Jun-0200,0.999723844657343
14-Jul-0200,190057,239052,0.0621015270409062,314,64,06-Oct-0200,3711,106,22-Jun-0200,0.999730745501896
15-Jul-0200,193590,240345,0.0618976054657615,319,64,06-Oct-0200,3719,106,22-Jun-0200,0.999730857650025
16-Jul-0200,196323,241550,0.061704329289327,324,64,08-Oct-0200,3726,107,23-Jun-0200,0.999731552950245
17-Jul-0200,199357,242843,0.0614934378897511,329,65,08-Oct-0200,3733,107,23-Jun-0200,0.999729365490866
18-Jul-0200,202066,244082,0.061287973427027,335,65,08-Oct-0200,3739,107,23-Jun-0200,0.99972727812287
19-Jul-0200,204525,245196,0.0611002192196606,339,65,08-Oct-0200,3745,107,23-Jun-0200,0.999726880955367
20-Jul-0200,207453,246410,0.0608923583591354,345,65,08-Oct-0200,3751,107,23-Jun-0200,0.999723121018203
21-Jul-0200,210510,247765,0.0606570253500495,351,65,10-Oct-0200,3757,108,24-Jun-0200,0.99971446290021
22-Jul-0200,213254,249137,0.0604158350261796,358,66,10-Oct-0200,3762,108,24-Jun-0200,0.999704271007887
23-Jul-0200,216110,250571,0.0601610582410083,366,66,10-Oct-0200,3768,108,24-Jun-0200,0.99969095994418
24-Jul-0200,218658,251968,0.0599103126999858,373,66,10-Oct-0200,3773,108,24-Jun-0200,0.99967792993522
25-Jul-0200,221178,253336,0.0596621974501108,381,67,10-Oct-0200,3778,108,24-Jun-0200,0.999664878358428
26-Jul-0200,223453,254618,0.0594272327428649,388,67,12-Oct-0200,3782,109,25-Jun-0200,0.999653878062151
27-Jul-0200,226225,255980,0.059175248566859,396,67,12-Oct-0200,3786,109,25-Jun-0200,0.99963870486075
28-Jul-0200,229185,257467,0.058897964664663,405,67,12-Oct-0200,3791,109,25-Jun-0200,0.999616996634858
29-Jul-0200,232194,259077,0.0585958081082111,415,68,12-Oct-0200,3795,109,25-Jun-0200,0.999588121039777
30-Jul-0200,234889,260719,0.0582864165497821,426,68,14-Oct-0200,3799,110,26-Jun-0200,0.999556607727179
31-Jul-0200,237661,262412,0.0579663744606848,437,69,14-Oct-0200,3802,110,26-Jun-0200,0.999521249118485
01-Aug-0200,239860,264018,0.0576618340904093,448,69,14-Oct-0200,3805,110,26-Jun-0200,0.999490074434942
02-Aug-0200,240746,265257,0.0574255236004345,457,69,14-Oct-0200,3808,110,26-Jun-0200,0.999477116824706
03-Aug-0200,242102,266296,0.057225622823803,465,69,14-Oct-0200,3809,110,26-Jun-0200,0.99947168778193
04-Aug-0200,244020,267291,0.0570322234738331,472,70,16-Oct-0200,3811,111,27-Jun-0200,0.999466752590805
05-Aug-0200,246674,268404,0.0568141199680183,481,70,16-Oct-0200,3812,111,27-Jun-0200,0.999455156556049
06-Aug-0200,249651,269682,0.0565615808792681,491,70,16-Oct-0200,3813,111,27-Jun-0200,0.999433166119398
07-Aug-0200,252502,271085,0.0562833604210307,503,71,16-Oct-0200,3814,111,27-Jun-0200,0.999402047024243
08-Aug-0200,255113,272554,0.0559909827210031,515,71,16-Oct-0200,3815,111,27-Jun-0200,0.99936501754753
09-Aug-0200,257600,274064,0.0556900421844554,529,71,18-Oct-0200,3815,112,28-Jun-0200,0.999323869376418
10-Aug-0200,260507,275682,0.0553672033938951,543,72,18-Oct-0200,3815,112,28-Jun-0200,0.999272703602097
11-Aug-0200,263503,277416,0.0550220317304915,560,72,18-Oct-0200,3815,112,28-Jun-0200,0.99921046070678
12-Aug-0200,266498,279252,0.0546573258874953,577,73,20-Oct-0200,3815,113,29-Jun-0200,0.999137604690947
13-Aug-0200,269115,281122,0.0542873799763091,596,73,20-Oct-0200,3815,113,29-Jun-0200,0.99906105777344
14-Aug-0200,271881,283047,0.0539083414853385,616,74,20-Oct-0200,3814,113,29-Jun-0200,0.998978483225941
15-Aug-0200,274525,285006,0.0535250446873502,636,74,20-Oct-0200,3813,113,29-Jun-0200,0.998892389909123
16-Aug-0200,276549,286902,0.0531559920316655,657,75,22-Oct-0200,3812,114,30-Jun-0200,0.998813473757152
17-Aug-0200,279144,288828,0.0527834791913537,679,75,22-Oct-0200,3811,114,30-Jun-0200,0.998731173254747
18-Aug-0200,282344,290869,0.0523913465404288,702,76,22-Oct-0200,3809,114,30-Jun-0200,0.998635288254003
19-Aug-0200,285091,292952,0.051994552813994,727,76,24-Oct-0200,3807,115,01-Jul-0200,0.998534847287687
20-Aug-0200,287959,295091,0.0515906745295402,753,77,24-Oct-0200,3805,115,01-Jul-0200,0.998428068508211
21-Aug-0200,290360,297219,0.0511927615702127,779,78,26-Oct-0200,3803,116,02-Jul-0200,0.998323972067515
22-Aug-0200,292625,299318,0.0508036494975215,806,78,26-Oct-0200,3801,116,02-Jul-0200,0.998224565170515
23-Aug-0200,294598,301354,0.050429735210647,833,79,26-Oct-0200,3799,116,02-Jul-0200,0.998134116143891
24-Aug-0200,297083,303399,0.0500574559653626,861,79,28-Oct-0200,3796,117,03-Jul-0200,0.998042870594442
25-Aug-0200,299628,305461,0.0496855119830476,890,80,28-Oct-0200,3794,117,03-Jul-0200,0.997949833301663
26-Aug-0200,302147,307535,0.0493145234640899,920,81,28-Oct-0200,3791,117,03-Jul-0200,0.997855555183334
27-Aug-0200,304583,309612,0.0489468365999379,950,81,30-Oct-0200,3788,118,04-Jul-0200,0.997761481344091
28-Aug-0200,306794,311664,0.0485870177464895,981,82,30-Oct-0200,3785,118,04-Jul-0200,0.997671196173563
29-Aug-0200,308925,313684,0.0482363738954263,1012,82,30-Oct-0200,3782,118,04-Jul-0200,0.997585439289816
30-Aug-0200,310822,315647,0.0478983738120866,1043,83,01-Nov-0200,3779,119,05-Jul-0200,0.997507162503443
31-Aug-0200,312996,317591,0.0475665353946924,1074,84,01-Nov-0200,3776,119,05-Jul-0200,0.997431148177422
01-Sep-0200,314946,319493,0.0472440158041851,1106,84,01-Nov-0200,3773,119,05-Jul-0200,0.997360307629972
02-Sep-0200,317528,321426,0.0469195363127851,1138,85,03-Nov-0200,3770,120,06-Jul-0200,0.997284723851347
03-Sep-0200,319686,323342,0.046600634829725,1171,85,03-Nov-0200,3766,120,06-Jul-0200,0.997210943660007
04-Sep-0200,321615,325218,0.046290976165448,1204,86,03-Nov-0200,3763,120,06-Jul-0200,0.99714191585155
05-Sep-0200,323565,327060,0.0459892592326127,1237,86,05-Nov-0200,3760,121,07-Jul-0200,0.997076654509847
06-Sep-0200,325157,328833,0.0457009516160756,1270,87,05-Nov-0200,3756,121,07-Jul-0200,0.997019375335131
07-Sep-0200,327359,330603,0.0454150603886577,1303,88,05-Nov-0200,3753,121,07-Jul-0200,0.996960968053718
08-Sep-0200,329251,332345,0.0451357280018914,1337,88,07-Nov-0200,3750,122,08-Jul-0200,0.996905431741225
09-Sep-0200,331078,334055,0.0448635200921312,1370,89,07-Nov-0200,3746,122,08-Jul-0200,0.996853113278035
10-Sep-0200,332970,335737,0.0445972762588404,1404,89,07-Nov-0200,3743,122,08-Jul-0200,0.996802686558019
11-Sep-0200,334762,337386,0.044337750380827,1437,90,09-Nov-0200,3739,123,09-Jul-0200,0.996755004817789
12-Sep-0200,336044,338960,0.0440917886390901,1470,90,09-Nov-0200,3736,123,09-Jul-0200,0.996715571308786
13-Sep-0200,337520,340477,0.0438555640453007,1502,91,09-Nov-0200,3732,123,09-Jul-0200,0.996680956162304
14-Sep-0200,339332,341978,0.0436232245571202,1534,91,09-Nov-0200,3729,123,09-Jul-0200,0.996646743910833
15-Sep-0200,341056,343454,0.0433956366204358,1567,92,11-Nov-0200,3726,124,10-Jul-0200,0.99661366489277
